"State","YearCode","Amount.of.Hydrogencarbonate","SDP","sdp2","sdp3","Ginni.Index","HDI","MarginOfVictory","percentagePoverty","literacyRate","Poverty_Literacy","Literacy_HDI","log_SDP","log_SDP2","log_SDP3"
"Bihar",2010,372.991005291005,117503,13806955009,1622358634422527,0.401,0.508,0.112095238095238,0.535,0.638,0.34133,0.324104,11.6742191441553,23.3484382883106,35.0226574324659
"Bihar",2011,349.424304152637,228497,52210879009,11930029220919474,0.401,0.521,0.12037037037037,0.337,0.638,0.215006,0.332398,12.3392783601274,24.6785567202547,37.0178350803821
"Bihar",2012,283.251211233211,236933,56137246489,13300766222378236,0.401,0.531,0.116576923076923,0.337,0.638,0.215006,0.338778,12.375532679728,24.7510653594561,37.1265980391841
"Bihar",2013,284.966386882665,246915,60967017225,15053671058110876,0.401,0.538,0.12037037037037,0.337,0.638,0.215006,0.343244,12.4167994268293,24.8335988536586,37.2503982804879
"Bihar",2016,261.518070141769,289265,83674240225,24204029098684624,0.401,0.568,0.11148,0.337,0.618,0.208266,0.351024,12.5750985019654,25.1501970039309,37.7252955058963
"Bihar",2017,79.5,312605,97721886025,30548350180845124,0.401,0.575,0.1635,0.337,0.618,0.208266,0.35535,12.6526956917232,25.3053913834465,37.9580870751697
"Bihar",2018,48.8,345545,119401347025,41258538457753624,0.401,0.579,0.21,0.337,0.618,0.208266,0.357822,12.7528781597288,25.5057563194577,38.2586344791865
"Chhattisgarh",2001,177.002652519894,25503,650403009,16587227938527,0.46,0.555,0.098,NA,0.647,NA,0.359085,10.1465513712855,20.2931027425709,30.4396541138564
"Chhattisgarh",2002,162.998376623376,25072,628605184,15760389173248,0.46,0.559,0.098,NA,0.647,NA,0.361673,10.1295069645958,20.2590139291916,30.3885208937874
"Chhattisgarh",2004,163.715277777778,41387,1712883769,70891120547603,0.46,0.575,0.126,0.494,0.647,0.319618,0.372025,10.6307221008402,21.2614442016804,31.8921663025206
"Chhattisgarh",2005,164.797785547786,42063,1769295969,74421896344047,0.46,0.581,0.126,0.494,0.647,0.319618,0.375907,10.6469237733892,21.2938475467785,31.9407713201677
"Chhattisgarh",2006,147.333333333333,50065,2506504225,125488134024625,0.46,0.587,0.126,0.494,0.647,0.319618,0.379789,10.8210774401419,21.6421548802838,32.4632323204257
"Chhattisgarh",2007,149.309523809524,54112,2928108544,158445809532928,0.46,0.582,0.126,0.494,0.647,0.319618,0.376554,10.8988112516983,21.7976225033966,32.6964337550949
"Chhattisgarh",2008,157.06294117647,57662,3324906244,191720743841528,0.46,0.576,0.126,0.494,0.647,0.319618,0.372672,10.9623536566817,21.9247073133634,32.8870609700452
"Chhattisgarh",2009,174.3,59263,3512103169,208137770104447,0.46,0.569,0.102,0.487,0.7404,0.3605748,0.4212876,10.9897404442134,21.9794808884268,32.9692213326401
"Chhattisgarh",2011,263.222222222222,142273,20241606529,2879834085700417,0.342,0.568,0.178,0.399,0.7404,0.2954196,0.4205472,11.8655030260891,23.7310060521782,35.5965090782673
"Chhattisgarh",2012,276.875,148760,22129537600,3291990013376000,0.342,0.566,0.102,0.399,0.7404,0.2954196,0.4190664,11.910089548039,23.820179096078,35.730268644117
